name,rating_n,searchterm,populartimes,coordinates,address,rating,id,types
Cumi Bali Indonesian Restaurant,55,"Cumi Bali Indonesian Restaurant 66 Tanjong Pagar Rd, Singapore 088487","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40, 55, 14, 0, 0, 0, 7, 48, 74, 25, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 70, 55, 14, 0, 0, 0, 11, 25, 29, 18, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 66, 88, 29, 0, 0, 0, 33, 55, 37, 11, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59, 92, 22, 0, 0, 0, 44, 100, 96, 40, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 11, 0, 0, 0, 25, 70, 77, 33, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 81, 55, 18, 0, 0], 'name': 'Sunday'}]","{'lat': 1.2788736, 'lng': 103.8438276}","66 Tanjong Pagar Rd, Singapore 088487",3.7,ChIJDw5_RG0Z2jERl-F--4zrv6E,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Clinton Street Baking Co. & Restaurant Singapore,158,"Clinton Street Baking Co. & Restaurant Singapore 31 Purvis Street, Singapore 188608","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 12, 19, 23, 23, 19, 12, 6, 3, 0, 0, 0, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 30, 22, 31, 31, 20, 11, 7, 5, 0, 0, 0, 0, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 21, 20, 25, 35, 25, 15, 17, 9, 0, 0, 0, 0, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 19, 21, 35, 39, 25, 11, 7, 6, 0, 0, 0, 0, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 28, 39, 41, 34, 23, 15, 12, 12, 25, 48, 42, 0, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 7, 26, 60, 83, 84, 91, 84, 49, 31, 29, 27, 23, 17, 0, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 67, 78, 80, 96, 100, 87, 64, 40, 22, 0, 0, 0, 0, 0, 0], 'name': 'Sunday'}]","{'lat': 1.2963644, 'lng': 103.8551432}","31 Purvis Street, Singapore 188608",3.9,ChIJuX2oc6UZ2jERLpYkTtlW9WE,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Soup Restaurant Suntec City Mall,11,"Soup Restaurant Suntec City Mall 3 Temasek Blvd, Singapore 038983","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 36, 18, 0, 0, 4, 31, 54, 36, 9, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54, 50, 4, 0, 0, 4, 40, 100, 77, 18, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36, 50, 22, 0, 0, 22, 59, 81, 63, 27, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 36, 40, 22, 9, 9, 31, 81, 100, 59, 18, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40, 63, 31, 4, 4, 22, 45, 63, 54, 27, 0, 0], 'name': 'Sunday'}]","{'lat': 1.2944346, 'lng': 103.8581424}","3 Temasek Blvd, Singapore 038983",3.5,ChIJ5-gaDK8Z2jERSUw9L4HrdK8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Big Lazy Chop 大懒排,39,"Big Lazy Chop 大懒排 #01-04, 1A Short St, Singapore 188210","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 10, 1, 0, 0, 8, 16, 23, 24, 18, 10, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 12, 4, 0, 0, 2, 10, 23, 29, 20, 7, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 23, 1, 0, 0, 3, 20, 49, 50, 22, 3, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 0, 0, 0, 3, 29, 82, 100, 50, 10, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 15, 9, 0, 0, 7, 32, 73, 87, 52, 16, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 26, 18, 0, 0, 21, 55, 73, 47, 14, 1, 0], 'name': 'Sunday'}]","{'lat': 1.3027525, 'lng': 103.8506437}","#01-04, 1A Short St, Singapore 188210",4.3,ChIJX9RnB7wZ2jERLj7z8xYynpI,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Char-Grill Bar Holland Village,28,"Char-Grill Bar Holland Village 25a Lor Liput, Singapore 277735","[{'data': [25, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 7, 14, 26, 39, 48, 49, 40], 'name': 'Monday'}, {'data': [27, 14, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18, 33, 44, 49, 50, 45], 'name': 'Tuesday'}, {'data': [35, 21, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 17, 4, 0, 2, 6, 14, 27, 40, 47, 46, 36], 'name': 'Wednesday'}, {'data': [23, 12, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 25, 42, 52, 54, 56, 56], 'name': 'Thursday'}, {'data': [46, 27, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 4, 4, 3, 9, 30, 71, 100, 88, 62, 53], 'name': 'Friday'}, {'data': [51, 37, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10, 13, 10, 5, 3, 13, 40, 65, 59, 45, 47], 'name': 'Saturday'}, {'data': [54, 45, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 17, 13, 5, 4, 20, 49, 61, 52, 45, 39], 'name': 'Sunday'}]","{'lat': 1.310398, 'lng': 103.7947493}","25a Lor Liput, Singapore 277735",3.8,ChIJ0apfTWoa2jERV-q3Lol8onU,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Canopy Garden,101,"Canopy Garden 1382 Ang Mo Kio Avenue 1, Bishan Park 2, Singapore 569931","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 13, 18, 23, 24, 24, 27, 36, 51, 65, 70, 63, 46, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 10, 13, 14, 16, 18, 26, 37, 48, 58, 60, 56, 45, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 22, 29, 31, 28, 22, 21, 27, 40, 56, 66, 62, 48, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 12, 13, 13, 13, 13, 21, 35, 54, 70, 78, 71, 54, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 21, 23, 24, 24, 27, 32, 45, 65, 87, 100, 97, 81, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 24, 28, 31, 33, 32, 29, 29, 37, 52, 72, 86, 89, 78, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 8, 27, 41, 44, 48, 51, 46, 39, 39, 48, 62, 72, 73, 64, 48, 0], 'name': 'Sunday'}]","{'lat': 1.3622902, 'lng': 103.8474133}","1382 Ang Mo Kio Avenue 1, Bishan Park 2, Singapore 569931",3.7,ChIJNzPuIxsX2jERCubjluZTnUk,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Baroque cafe,51,"Baroque cafe 246 Upper Thomson Rd, Singapore 574370","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 22, 14, 7, 9, 23, 41, 44, 28, 11, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 25, 19, 10, 9, 19, 37, 51, 49, 32, 14, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 20, 22, 25, 27, 18, 22, 46, 64, 49, 20, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 64, 35, 6, 7, 20, 40, 51, 42, 23, 7, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 48, 81, 83, 50, 18, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 33, 40, 35, 29, 42, 79, 100, 75, 33, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 35, 41, 36, 25, 23, 37, 57, 58, 38, 15, 0], 'name': 'Sunday'}]","{'lat': 1.3536692, 'lng': 103.8344306}","246 Upper Thomson Rd, Singapore 574370",4.5,ChIJh-BrvjoX2jERqsPYiT1gMD0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Seoul Chicken - Sembawang,20,"Seoul Chicken - Sembawang 435 Sembawang Rd, Singapore 758398","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 1, 7, 21, 38, 44, 36, 21, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 7, 9, 11, 15, 26, 53, 55, 26, 11, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 26, 26, 15, 9, 13, 21, 28, 32, 32, 28, 21, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 19, 13, 9, 13, 26, 46, 59, 59, 46, 30, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 23, 25, 17, 11, 19, 42, 67, 65, 40, 19, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 7, 7, 7, 15, 30, 53, 73, 75, 57, 36, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40, 53, 19, 5, 13, 36, 71, 100, 100, 75, 44, 0], 'name': 'Sunday'}]","{'lat': 1.4282997, 'lng': 103.8265506}","435 Sembawang Rd, Singapore 758398",3.9,ChIJHeq0O3cU2jERCgVUcQ_W8pU,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Ga-Hock Seafood,74,"Ga-Hock Seafood 794 Upper Bukit Timah Rd, Singapore 678133","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 22, 38, 45, 37, 19, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 34, 57, 61, 41, 16, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 31, 57, 64, 46, 20, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 31, 52, 55, 38, 15, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 42, 68, 74, 53, 24, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 36, 70, 92, 83, 52, 21, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35, 73, 100, 88, 49, 16, 0], 'name': 'Sunday'}]","{'lat': 1.3729447, 'lng': 103.7632466}","794 Upper Bukit Timah Rd, Singapore 678133",3.6,ChIJ3UskGbAR2jERY3FKgqm9o9w,"['restaurant', 'food', 'point_of_interest', 'establishment']"
I'm Kim Junior Korean BBQ Buffet,3,"I'm Kim Junior Korean BBQ Buffet 2 Orchard Link, *Scape, #03-01, Singapore 237978","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29, 53, 55, 34, 0, 19, 29, 40, 38, 27, 14, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 25, 40, 36, 0, 19, 36, 53, 61, 51, 31, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 34, 38, 29, 17, 0, 14, 38, 63, 63, 36, 12, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36, 48, 40, 21, 0, 6, 21, 44, 55, 40, 19, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 34, 44, 51, 36, 0, 21, 51, 89, 100, 72, 34, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 29, 34, 29, 19, 0, 21, 44, 74, 85, 68, 38, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 34, 44, 38, 25, 0, 34, 53, 68, 63, 44, 23, 0], 'name': 'Sunday'}]","{'lat': 1.301039, 'lng': 103.8357832}","2 Orchard Link, *Scape, #03-01, Singapore 237978",3.7,ChIJvReMq5EZ2jERiWD8NFLK5vI,"['restaurant', 'food', 'point_of_interest', 'establishment']"
The Manchurian Club,69,"The Manchurian Club 2 Changi Business Park Ave 1, #01-02 Hotel Tower UE Biz Hub East, Singapore 486015","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 30, 24, 12, 6, 8, 15, 21, 20, 13, 6, 1], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 28, 28, 0, 0, 0, 12, 25, 32, 24, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43, 54, 10, 0, 0, 0, 7, 21, 39, 42, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 40, 41, 23, 0, 0, 0, 4, 19, 37, 36, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 93, 100, 30, 0, 0, 0, 10, 40, 69, 58, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 18, 17, 0, 0, 0, 4, 34, 82, 78, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 30, 30, 0, 0, 0, 18, 56, 78, 47, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3358384, 'lng': 103.9630928}","2 Changi Business Park Ave 1, #01-02 Hotel Tower UE Biz Hub East, Singapore 486015",3.7,ChIJz3QjMNg82jERnK_aKOmASjA,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Muthu's Curry,223,"Muthu's Curry 138 Race Course Rd, #01-01, Singapore 218591","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 22, 28, 28, 22, 15, 15, 25, 40, 44, 32, 14, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 32, 36, 30, 20, 14, 18, 30, 42, 45, 37, 22, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 27, 34, 30, 20, 13, 17, 33, 51, 58, 46, 26, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 26, 39, 37, 23, 13, 20, 44, 68, 70, 47, 21, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 45, 51, 38, 20, 12, 17, 32, 49, 55, 47, 30, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20, 40, 56, 53, 35, 21, 26, 55, 90, 100, 73, 35, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 39, 66, 72, 51, 29, 26, 38, 53, 55, 44, 26, 0], 'name': 'Sunday'}]","{'lat': 1.3098715, 'lng': 103.8523142}","138 Race Course Rd, #01-01, Singapore 218591",3.8,ChIJkYBwH8cZ2jERD6jfTNAFHMs,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Don Quijote,41,"Don Quijote Block 7 Dempsey Road, #01-02, Singapore 249671","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 18, 31, 38, 28, 11, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 25, 54, 55, 25, 5, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 24, 38, 41, 30, 14, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 36, 56, 59, 42, 20, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 50, 85, 100, 81, 45, 17], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 58, 59, 44, 23, 10, 13, 41, 79, 83, 47, 14, 1], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 75, 81, 52, 22, 14, 25, 46, 60, 55, 36, 16, 0], 'name': 'Sunday'}]","{'lat': 1.3045013, 'lng': 103.809045}","Block 7 Dempsey Road, #01-02, Singapore 249671",3.8,ChIJ_VyFuDwa2jER4Z74okgmnBg,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
Two Tall Trees,34,"Two Tall Trees 14 Kensington Park Rd, Singapore 557265","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 35, 30, 16, 16, 54, 71, 40, 50, 45, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 45, 45, 38, 23, 19, 33, 59, 54, 23, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 26, 33, 40, 47, 45, 40, 38, 35, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23, 35, 45, 47, 40, 30, 35, 66, 76, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 42, 50, 42, 40, 42, 50, 50, 45, 45, 59, 69, 45, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 61, 90, 95, 85, 88, 100, 100, 76, 42, 26, 28, 26, 0, 0], 'name': 'Sunday'}]","{'lat': 1.365112, 'lng': 103.866158}","14 Kensington Park Rd, Singapore 557265",4.2,ChIJpy2wuP8W2jERRTz4_evz8BU,"['cafe', 'liquor_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
Stone Age,9,"Stone Age 218 Bedok North Street 1 #01-01, Singapore 460218","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 14, 3, 0, 0, 0, 9, 23, 23, 9, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 9, 6, 0, 0, 0, 14, 27, 33, 27, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 23, 9, 0, 0, 0, 20, 30, 29, 19, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 11, 7, 0, 0, 0, 14, 21, 22, 17, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 15, 10, 0, 0, 4, 18, 38, 42, 23, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 20, 12, 0, 0, 14, 53, 90, 67, 22, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 38, 48, 29, 0, 0, 23, 65, 100, 83, 38, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3272759, 'lng': 103.9347521}","218 Bedok North Street 1 #01-01, Singapore 460218",3.4,ChIJc8yw7ko92jERhAGZZ6c1hrU,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Popeyes Bugis Village,52,"Popeyes Bugis Village 229 Victoria Street, Singapore 188023","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 28, 28, 20, 16, 16, 20, 32, 52, 68, 52, 24, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 36, 32, 24, 20, 24, 32, 36, 32, 36, 40, 36, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 32, 40, 40, 36, 36, 40, 40, 44, 40, 36, 32, 24, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 16, 16, 16, 24, 32, 28, 20, 16, 20, 20, 16, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 36, 28, 24, 24, 36, 40, 40, 40, 44, 44, 40, 28, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 36, 52, 60, 56, 44, 40, 48, 48, 40, 36, 48, 52, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 36, 52, 60, 56, 56, 56, 56, 52, 40, 44, 100, 48, 0], 'name': 'Sunday'}]","{'lat': 1.2998871, 'lng': 103.8549253}","229 Victoria Street, Singapore 188023",3.6,ChIJ3xIu7boZ2jERFq3WIbDt3eQ,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Khao San,11,"Khao San 338 Tanjong Katong Rd, Singapore 437110","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 35, 23, 0, 0, 0, 47, 47, 35, 23, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 17, 0, 0, 0, 29, 35, 41, 29, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35, 35, 0, 0, 0, 58, 76, 58, 23, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 35, 29, 0, 0, 0, 23, 41, 52, 35, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35, 47, 0, 0, 0, 41, 64, 70, 47, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 64, 35, 0, 0, 0, 41, 70, 82, 58, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 100, 76, 0, 0, 0, 58, 94, 100, 76, 0, 0], 'name': 'Sunday'}]","{'lat': 1.303825, 'lng': 103.8964431}","338 Tanjong Katong Rd, Singapore 437110",3.5,ChIJ12Gs82sY2jERv9w0BV2o0gc,"['restaurant', 'food', 'point_of_interest', 'establishment']"
